

==================================================
                  Term Frequency                  
==================================================

     |  word_1  word_2  word_3  word_4  word_5  word_6  word_7  word_8  word_9 word_10
d279 |    0.40    0.40    0.20    0.40    0.00    0.60    0.20    0.20    0.20    0.00
d280 |    1.00    0.50    0.25    0.25    0.00    0.00    0.25    0.00    0.25    0.00
d281 |    0.71    0.29    0.43    0.57    0.57    0.86    0.29    0.29    0.14    0.00
d282 |    0.00    1.00    1.00    0.00    0.00    0.00    0.50    1.00    0.50    0.00
d283 |    0.00    1.00    0.50    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d284 |    0.75    0.25    0.75    0.50    0.00    0.50    0.25    1.00    0.50    0.00
d285 |    0.05    0.09    0.36    0.05    0.14    0.05    0.05    0.09    0.05    0.23
d286 |    0.50    0.50    0.25    0.50    0.00    1.00    0.25    0.25    0.25    0.75
d287 |    0.55    0.18    1.00    0.55    0.00    0.36    0.18    0.73    0.18    0.00
d288 |    0.20    0.40    0.00    0.20    0.00    0.00    0.20    0.00    0.20    0.00
d289 |    0.10    0.20    0.10    0.10    1.00    0.10    0.10    0.00    0.10    0.00
d290 |    0.25    0.50    0.25    0.25    0.50    0.25    0.25    0.00    0.25    0.00
d291 |    0.60    0.40    0.20    0.60    0.00    0.60    0.20    0.20    0.20    1.00
d292 |    1.00    0.40    0.40    0.40    0.20    0.40    0.20    0.40    0.20    0.80
d293 |    0.00    1.00    0.00    0.00    0.00    0.00    0.50    0.00    0.50    0.00
d294 |    0.75    0.50    0.00    0.25    0.25    0.25    0.25    0.00    0.25    0.00
d295 |    1.00    0.29    0.14    0.43    0.43    0.43    0.14    0.29    0.14    0.00
d296 |    0.33    0.67    0.00    0.33    0.33    0.67    0.33    0.33    0.33    1.00
d297 |    0.75    0.50    0.00    0.50    0.25    0.50    0.25    0.00    0.25    0.50
d298 |    0.00    0.50    0.25    0.00    0.00    0.00    0.25    0.25    0.25    0.00
d299 |    0.25    0.50    0.50    0.00    0.75    0.00    0.25    0.00    0.25    0.25
d300 |    1.00    0.40    0.40    1.00    0.20    0.60    0.20    0.20    0.20    0.80
d301 |    0.38    0.25    0.25    0.12    0.25    0.25    0.12    0.12    0.12    0.00
